,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
68247,Accident,2010-06-02,"Anchorage, AK",United States,Merrill Field,Fatal,Substantial,Cessna,U206F,No,1.0,Reciprocating,Business,1.0,0.0,4.0,0.0,VMC,Unknown,5.0,Cessna U206F
68256,Accident,2010-06-04,"Anderson, IN",United States,Anderson Municipal Airport,Non-Fatal,Substantial,Cessna,421B,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 421B
68275,Accident,2010-06-07,"Leeds, United Kingdom",United Kingdom,Unknown,Non-Fatal,Substantial,Cessna,525,No,2.0,Turbo Fan,Business,0.0,0.0,0.0,2.0,Unknown,Unknown,2.0,Cessna 525
68338,Accident,2010-06-18,"Plymouth, MA",United States,Plymouth Municipal Airport,Non-Fatal,Substantial,Cessna,401,No,2.0,Reciprocating,Other Work Use,0.0,0.0,3.0,0.0,VMC,Unknown,3.0,Cessna 401
68360,Accident,2010-06-21,"Storm Lake, IA",United States,Storm Lake Municipal Airport,Non-Fatal,Substantial,Cessna,525A,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,6.0,VMC,Unknown,6.0,Cessna 525A
68412,Accident,2010-06-28,"Igiugig, AK",United States,Unknown,Non-Fatal,Substantial,Dehavilland,DHC-2 MK. I(L20A),No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,7.0,VMC,Unknown,7.0,Dehavilland DHC-2 MK. I(L20A)
68487,Accident,2010-07-11,"Tulsa, OK",United States,Tulsa International Airport,Fatal,Substantial,Cessna,421,No,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,Unknown,3.0,Cessna 421
68536,Accident,2010-07-18,"Coeur d'Alene, ID",United States,Coeur d'Alene-Pappy Boyington,Non-Fatal,Substantial,Cessna,A185F,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna A185F
68589,Accident,2010-07-27,"New York, NY",United States,John F Kennedy International,Non-Fatal,Substantial,Gulfstream,GIV,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,6.0,VMC,Unknown,6.0,Gulfstream GIV
68658,Accident,2010-08-04,"Vici, OK",United States,Vici Municipal Airport,Non-Fatal,Substantial,Cessna,414,No,2.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Cessna 414
68691,Accident,2010-08-09,"Aleknagik, AK",United States,Unknown,Fatal,Substantial,Dehavilland,DHC-3,No,1.0,Turbo Prop,Other Work Use,5.0,0.0,4.0,0.0,VMC,Unknown,9.0,Dehavilland DHC-3
68694,Accident,2010-08-10,"Washington, GA",United States,Unknown,Fatal,Substantial,Piper,PA-32R-301,No,1.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Piper PA-32R-301
68782,Accident,2010-08-23,"Grangeville, ID",United States,Grangeville Idaho County,Non-Fatal,Substantial,Cessna,U206,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna U206
68814,Accident,2010-08-27,"Aleknagik, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,U206F,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna U206F
68837,Accident,2010-08-30,"Belgrade, MT",United States,Bozeman Gallatin Field,Fatal,Substantial,Cessna,182C,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cessna 182C
68894,Accident,2010-09-08,"Helena, GA",United States,Telfair-Wheeler Airport,Fatal,Substantial,Cessna,182T,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,IMC,Unknown,2.0,Cessna 182T
68934,Accident,2010-09-15,"Hazard, KY",United States,Wendell H Ford Airport,Non-Fatal,Substantial,Mooney,M20J,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Mooney M20J
68962,Accident,2010-09-20,"Chamblee, GA",United States,Dekalb-Peachtree Airport,Non-Fatal,Substantial,Piper,PA32R,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA32R
69024,Accident,2010-09-30,"Spokane, WA",United States,Felts Field,Non-Fatal,Substantial,Piper,PA-46-350P,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Piper PA-46-350P
69027,Accident,2010-10-01,"Manteo, NC",United States,Dare County Regional,Non-Fatal,Substantial,Cessna,550,No,2.0,Turbo Jet,Executive/corporate,0.0,7.0,0.0,0.0,IMC,Unknown,7.0,Cessna 550
69053,Accident,2010-10-05,"Columbia, SC",United States,Columbia Metropolitan,Non-Fatal,Substantial,Cessna,182P,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,Unknown,2.0,Cessna 182P
69066,Accident,2010-10-09,"Valley, WA",United States,Unknown,Non-Fatal,Substantial,Piper,PA-12,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-12
69142,Accident,2010-10-25,"Morton, WA",United States,Unknown,Fatal,Substantial,Cessna,340A,No,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Unknown,3.0,Cessna 340A
69325,Accident,2010-12-16,"Nacogdoches, TX",United States,Unknown,Non-Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Executive/corporate,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,Cirrus Design Corp SR22
69326,Accident,2010-12-16,"Moline, IL",United States,Quad City International,Non-Fatal,Substantial,Cessna,T182T,No,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,IMC,Unknown,2.0,Cessna T182T
69338,Accident,2010-12-21,"Madison, WI",United States,Dane County Regional Airport,Non-Fatal,Substantial,Cessna,340A,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,IMC,Unknown,1.0,Cessna 340A
69508,Accident,2011-02-07,"Danville, IL",United States,Vermilion Regional Airport,Non-Fatal,Substantial,Beech,A36,No,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Beech A36
69522,Accident,2011-02-11,"Baltimore, MD",United States,Baltimore/Wash. Int. Airport,Non-Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-31-350
69543,Accident,2011-02-15,"Des Moines, IA",United States,Unknown,Non-Fatal,Substantial,Beech,E-90,No,2.0,Turbo Prop,Flight Test,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Beech E-90
69564,Accident,2011-02-20,"Holdenville, OK",United States,Holdenville Municipal,Non-Fatal,Substantial,Piper,PA-32R-301,No,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Piper PA-32R-301
69568,Accident,2011-02-22,"Romeoville, IL",United States,Lewis University,Non-Fatal,Substantial,Cessna,310Q,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 310Q
69643,Accident,2011-03-11,"Smyrna, TN",United States,Smyrna Airport,Fatal,Substantial,Cessna,310R,No,2.0,Reciprocating,Flight Test,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 310R
69726,Accident,2011-03-28,"Canadian, TX",United States,Hemphill County Airport,Non-Fatal,Substantial,Cessna,425,No,2.0,Turbo Prop,Business,0.0,4.0,0.0,3.0,IMC,Unknown,7.0,Cessna 425
69795,Accident,2011-04-10,"Biddeford, ME",United States,Biddeford Municipal Airport,Fatal,Substantial,Cessna,402B,No,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 402B
69850,Accident,2011-04-21,"Ocala, FL",United States,Ocala International Airport,Non-Fatal,Substantial,Beech,F33A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech F33A
69922,Accident,2011-05-06,"Greenville, MS",United States,Mid Delta Regional Airport,Non-Fatal,Substantial,Boeing,737,No,2.0,Unknown,Positioning,0.0,0.0,0.0,2.0,Unknown,Unknown,2.0,Boeing 737
69936,Accident,2011-05-09,"Miles City, MT",United States,Unknown,Fatal,Substantial,Air Tractor Inc,AT-802A,No,1.0,Turbo Prop,Positioning,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Air Tractor Inc AT-802A
69937,Accident,2011-05-09,"Bono, AR",United States,Private,Non-Fatal,Substantial,Grumman Acft Eng Cor-Schweizer,G-164A,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Grumman Acft Eng Cor-Schweizer G-164A
69974,Accident,2011-05-17,"Talkeetna, AK",United States,Talkeetna,Non-Fatal,Substantial,Cessna,A185F,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna A185F
70016,Accident,2011-05-24,"Kaduna, Nigeria",Nigeria,Unknown,Fatal,Substantial,Beech,C90,No,1.1114300626304803,Unknown,Other Work Use,2.0,0.0,0.0,0.0,Unknown,Unknown,2.0,Beech C90
70025,Accident,2011-05-26,"Sedona, AZ",United States,Sedona Airport,Non-Fatal,Substantial,Piper,PA-24-250,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-24-250
70056,Accident,2011-06-01,"Wendover, UT",United States,Wendover,Fatal,Substantial,Cessna,172R,No,1.0,Reciprocating,Business,4.0,0.0,0.0,0.0,VMC,Unknown,4.0,Cessna 172R
70126,Accident,2011-06-15,"Gray, TN",United States,Unknown,Non-Fatal,Substantial,Beech,A100,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,2.0,IMC,Unknown,2.0,Beech A100
70130,Accident,2011-06-15,"Nashville, TN",United States,John C. Tune,Non-Fatal,Substantial,Cessna,525A,No,2.0,Turbo Fan,Business,0.0,0.0,0.0,5.0,IMC,Unknown,5.0,Cessna 525A
70152,Accident,2011-06-18,"Albia, IA",United States,Albia Municipal,Non-Fatal,Substantial,Cessna,P210R,No,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,Cessna P210R
70251,Accident,2011-06-30,"Stevensville, MD",United States,Bay Bridge Airport,Non-Fatal,Substantial,Cessna,182K,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 182K
70372,Accident,2011-07-18,"Joshua Tree, CA",United States,Unknown,Non-Fatal,Substantial,Piper,PA-12,No,1.0,Reciprocating,Positioning,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,Piper PA-12
70380,Accident,2011-07-19,"Colville, WA",United States,Colville Municipal Airport,Non-Fatal,Substantial,Beech,95-B55 (T42A),No,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Beech 95-B55 (T42A)
70391,Accident,2011-07-20,"Columbia, MO",United States,Columbia Regional Airport,Non-Fatal,Substantial,Cessna,T210L,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna T210L
70520,Accident,2011-08-04,"Nekoosa, WI",United States,Private,Non-Fatal,Substantial,Air Tractor Inc,AT-301,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Air Tractor Inc AT-301
70521,Accident,2011-08-05,"Amarillo, TX",United States,Unknown,Non-Fatal,Substantial,Cessna,T210N,No,1.0,Reciprocating,Executive/corporate,0.0,3.0,2.0,0.0,VMC,Unknown,5.0,Cessna T210N
70557,Accident,2011-08-12,"Kodiak, AK",United States,Kodiak,Non-Fatal,Substantial,Piper,PA-32-301,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-32-301
70558,Accident,2011-08-12,"Arcadia, FL",United States,Unknown,Non-Fatal,Substantial,Cessna,U206F,No,1.0,Reciprocating,Other Work Use,0.0,1.0,0.0,4.0,VMC,Unknown,5.0,Cessna U206F
70566,Accident,2011-08-13,"Coldfoot, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA-18-135,No,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,Piper PA-18-135
70670,Accident,2011-08-27,"Grand Marais, MN",United States,Unknown,Non-Fatal,Substantial,Cessna,182C,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Cessna 182C
70691,Accident,2011-08-30,"Cape Yakataga, AK",United States,Tsiu Lodge Strip,Non-Fatal,Substantial,Piper,PA-18-150,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-18-150
70754,Accident,2011-09-08,"West Liberty, OH",United States,Bellefontaine Regional Airport,Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cirrus Design Corp SR22
70863,Accident,2011-09-28,"Atlanta, GA",United States,Cobb County Airport  Mc Collum,Non-Fatal,Substantial,Mitsubishi,MU-2B-25,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Mitsubishi MU-2B-25
70869,Accident,2011-09-29,"Lamar, MO",United States,Lamar Municipal,Non-Fatal,Substantial,Cessna,T210R,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna T210R
70915,Accident,2011-10-08,"Starkville, MS",United States,Starkville Bryan Field,Non-Fatal,Substantial,Cessna,188,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 188
70929,Accident,2011-10-12,"Hollywood, FL",United States,North Perry Airport,Non-Fatal,Substantial,Socata,TBM 700,No,1.0,Turbo Prop,Flight Test,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Socata TBM 700
71027,Incident,2011-11-03,"Key West, FL",United States,Key West International,Non-Fatal,Minor,Cessna,550,No,2.0,Turbo Fan,Business,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Cessna 550
71051,Accident,2011-11-10,"College Station, TX",United States,Unknown,Non-Fatal,Substantial,Beech,95-B55 (T42A),No,2.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Beech 95-B55 (T42A)
71082,Accident,2011-11-17,"Ulysses, PA",United States,Unknown,Non-Fatal,Substantial,Beech,95-C55,No,2.0,Reciprocating,Business,0.0,0.0,4.0,0.0,IMC,Unknown,4.0,Beech 95-C55
71128,Accident,2011-11-29,"Chuathbaluk, AK",United States,Unknown,Fatal,Substantial,Cessna,207,No,1.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 207
71140,Accident,2011-12-02,"Midland, TX",United States,Midland Airpark,Non-Fatal,Destroyed,Beech,F90,No,1.1114300626304803,Turbo Prop,Positioning,0.0,0.0,1.0,0.0,IMC,Unknown,1.0,Beech F90
71180,Accident,2011-12-15,"Phoenix, AZ",United States,Scottsdale,Fatal,Substantial,Cirrus Design Corp.,SR22,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Unknown,2.0,Cirrus Design Corp. SR22
71186,Accident,2011-12-16,"Cheyenne, WY",United States,Cheyenne Regional,Non-Fatal,Substantial,Beech,J35,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech J35
71280,Accident,2012-01-24,"Walterboro, SC",United States,Private Airstrip,Non-Fatal,Substantial,Beech,58,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Beech 58
71286,Accident,2012-01-26,"Old Minto, AK",United States,Unknown,Non-Fatal,Substantial,Helio,H-295,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Helio H-295
71309,Incident,2012-02-03,"Campo Grande, Brazil",Brazil,Campo Grande International,Non-Fatal,Minor,Embraer,EMB-500,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Embraer EMB-500
71321,Accident,2012-02-05,"Yellow Pine, ID",United States,Stibnite Mine,Non-Fatal,Substantial,Rockwell International,S-2R,No,1.0,Turbo Prop,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Rockwell International S-2R
71336,Accident,2012-02-09,"Morgan, UT",United States,Unknown,Fatal,Substantial,Cessna,210,No,1.0,Reciprocating,Other Work Use,2.0,0.0,0.0,0.0,IMC,Unknown,2.0,Cessna 210
71357,Accident,2012-02-14,"Yellow Pine, ID",United States,Stibnite Airport,Non-Fatal,Substantial,Rockwell International,S-2R,No,1.0,Turbo Prop,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Rockwell International S-2R
71407,Accident,2012-02-26,"San Antonio, TX",United States,Stinson Municipal Airport,Fatal,Substantial,Mooney,M20E,No,1.0,Reciprocating,Positioning,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Mooney M20E
71411,Accident,2012-02-28,"Manaus, Brazil",Brazil,Aeroporto Flores,Fatal,Substantial,Cessna,208,No,1.1114300626304803,Turbo Prop,Positioning,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Cessna 208
71419,Accident,2012-03-01,"Egelsbach, Germany",Germany,Unknown,Fatal,Destroyed,Cessna,750,No,1.1114300626304803,Unknown,Business,5.0,0.0,0.0,0.0,Unknown,Unknown,5.0,Cessna 750
71444,Accident,2012-03-07,"Atlanta, GA",United States,Dekalb Peachtree Airport,Non-Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-31-350
71453,Accident,2012-03-09,"Naknek, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,U206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna U206G
71517,Accident,2012-03-24,"Bloomfield, IN",United States,Shawnee Airport,Non-Fatal,Substantial,Mooney,M20J,No,1.0,Reciprocating,Positioning,0.0,0.0,2.0,0.0,VMC,Unknown,2.0,Mooney M20J
71526,Accident,2012-03-24,"Brooksville, FL",United States,Hernando County Airport,Non-Fatal,Substantial,Cessna,172P,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 172P
71536,Accident,2012-03-27,"Battle Creek, MI",United States,W K Kellogg Airport,Non-Fatal,Substantial,Cessna,441,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 441
71595,Accident,2012-04-10,"Iuka, MS",United States,Unknown,Non-Fatal,Substantial,Piper,PA-28-151,No,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Piper PA-28-151
71669,Accident,2012-04-27,"Eugene, OR",United States,Mahlon Sweet Field Airport,Non-Fatal,Substantial,Cessna,560XL,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 560XL
71832,Accident,2012-05-23,"Howard, SD",United States,Howard Municipal,Non-Fatal,Substantial,Rockwell International,S-2R,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Rockwell International S-2R
71963,Accident,2012-06-12,"Mt. Vernon, MO",United States,None,Non-Fatal,Substantial,Piper,PA-38-112,No,1.0,Reciprocating,Positioning,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,Piper PA-38-112
71977,Incident,2012-06-15,"Ozark, MO",United States,Lee C Fine Memorial,Non-Fatal,Minor,Cessna,560,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,5.0,VMC,Unknown,5.0,Cessna 560
72027,Accident,2012-06-22,"Metropolis, IL",United States,Metropolis Municipal,Non-Fatal,Substantial,Piper,PA-46-310P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-46-310P
72112,Accident,2012-07-06,"Kotlik, AK",United States,Kotlik Airport,Non-Fatal,Substantial,Cessna,207A,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 207A
72166,Accident,2012-07-13,"Le Castellet, France",France,Le Castellet,Fatal,Destroyed,Gulfstream,GIV,No,2.0,Unknown,Positioning,3.0,0.0,0.0,0.0,VMC,Unknown,3.0,Gulfstream GIV
72219,Accident,2012-07-20,"Statesboro, GA",United States,Statesboro-Bulloch County,Non-Fatal,Substantial,Piper,PA-28-180,No,1.0,Reciprocating,Flight Test,0.0,1.0,0.0,1.0,VMC,Unknown,2.0,Piper PA-28-180
72315,Accident,2012-08-01,"Holly Lake Ranch, TX",United States,Holly Lake Ranch Airport,Non-Fatal,Substantial,Beech,H35,No,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,Beech H35
72398,Incident,2012-08-15,"Des Moines, IA",United States,Des Moines International,Non-Fatal,Minor,Cessna,560XL,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,8.0,VMC,Unknown,8.0,Cessna 560XL
72400,Accident,2012-08-15,"Clifton Park, NY",United States,Albany International,Fatal,Substantial,Beech,A36TC,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Beech A36TC
72408,Accident,2012-08-17,"Ruleton, KS",United States,Unknown,Non-Fatal,Substantial,Beech,A36,No,1.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Beech A36
72409,Accident,2012-08-17,"Holton, KS",United States,Unknown,Non-Fatal,Substantial,Piper,PA-24-260,No,1.0,Reciprocating,Business,0.0,1.0,2.0,0.0,VMC,Unknown,3.0,Piper PA-24-260
72559,Accident,2012-09-05,"Fort Worth, TX",United States,Fort Worth Spinks Airport,Non-Fatal,Substantial,Cessna,421B,No,2.0,Reciprocating,Business,0.0,0.0,2.0,0.0,VMC,Unknown,2.0,Cessna 421B
72577,Accident,2012-09-07,"Marion, SC",United States,Marion County Airport,Non-Fatal,Substantial,Cessna,182T,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 182T
72620,Accident,2012-09-13,"Denali Park, AK",United States,Denali Park Strip,Non-Fatal,Substantial,Cessna,A185F,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna A185F
72646,Accident,2012-09-18,"Macon, GA",United States,Macon Downtown Airport,Non-Fatal,Substantial,Beech,400,No,2.0,Turbo Fan,Executive/corporate,0.0,2.0,0.0,1.0,VMC,Unknown,3.0,Beech 400
72716,Accident,2012-10-01,"Port Lions, AK",United States,Shotgun Lake,Non-Fatal,Substantial,Cessna,182A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 182A
72721,Accident,2012-10-03,"Gary, IN",United States,Gary/Chicago Int'l Arp,Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Unknown,2.0,Cirrus Design Corp SR22
72750,Accident,2012-10-09,"Buckland, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,U206F,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna U206F
72770,Accident,2012-10-13,"Charlotte Amalie,",United States,Charlotte Amalie,Fatal,Substantial,Piper,PA-23-250,No,2.0,Reciprocating,Business,3.0,0.0,1.0,0.0,VMC,Unknown,4.0,Piper PA-23-250
72791,Accident,2012-10-17,"Wausau, WI",United States,Wausau Downtown Airport,Non-Fatal,Substantial,Beech,A36,No,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,IMC,Unknown,1.0,Beech A36
72852,Accident,2012-10-31,"Boyne City, MI",United States,Boyne City Municipal Airport,Non-Fatal,Substantial,Piaggio,P180,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,2.0,IMC,Unknown,2.0,Piaggio P180
72871,Accident,2012-11-05,"Stotts City, MO",United States,Unknown,Fatal,Substantial,Cessna,310,No,2.0,Reciprocating,Positioning,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Cessna 310
72912,Accident,2012-11-17,"Greenwood, SC",United States,Greenwood County,Non-Fatal,Substantial,Cessna,550,No,2.0,Turbo Fan,Flight Test,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 550
72949,Accident,2012-11-27,"Wells, TX",United States,Unknown,Fatal,Substantial,Cessna,421C,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cessna 421C
73022,Accident,2012-12-19,"Libby, MT",United States,Libby,Fatal,Destroyed,Beech,B100,No,2.0,Turbo Prop,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Beech B100
73088,Accident,2013-01-11,"Maxwell, NE",United States,NORTH PLATTE RGNL AIRPORT,Fatal,Destroyed,Raytheon Aircraft Company,58,No,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,IMC,Unknown,4.0,Raytheon Aircraft Company 58
73093,Accident,2013-01-12,"Paris, TX",United States,Unknown,Fatal,Destroyed,Piper,PA46-500TP,No,1.0,Turbo Prop,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Unknown,3.0,Piper PA46-500TP
73103,Accident,2013-01-16,"Burlington, NC",United States,Burlington-Alamance Regional,Fatal,Substantial,Pilatus,PC-12/45,No,1.0,Turbo Prop,Executive/corporate,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Pilatus PC-12/45
73116,Accident,2013-01-20,"Marysville, CA",United States,Yuba County Airport,Non-Fatal,Substantial,Cessna,172F,No,1.0,Reciprocating,Positioning,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Cessna 172F
73154,Accident,2013-02-03,"Boise, ID",United States,Boise Air Terminal,Non-Fatal,Substantial,Cessna,T210L,No,1.0,Reciprocating,Other Work Use,0.0,2.0,0.0,0.0,IMC,Unknown,2.0,Cessna T210L
73190,Accident,2013-02-13,"Sabinal, TX",United States,Unknown,Non-Fatal,Substantial,Cessna,T206H,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna T206H
73213,Accident,2013-02-18,"Valparaiso, FL",United States,Eglin Air Force Base,Non-Fatal,Substantial,Cessna,172P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Cessna 172P
73284,Accident,2013-03-11,"Rogers, AR",United States,Rogers Municipal Airport-Carte,Non-Fatal,Substantial,Piper,PA 46-350P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,IMC,Unknown,4.0,Piper PA 46-350P
73298,Accident,2013-03-15,"Fort Lauderdale, FL",United States,Fort Lauderdale Executive,Fatal,Destroyed,Piper,PA-31T,No,2.0,Turbo Prop,Flight Test,3.0,0.0,0.0,0.0,VMC,Unknown,3.0,Piper PA-31T
73305,Accident,2013-03-16,"Winsted, MN",United States,WINSTED MUNI,Non-Fatal,Substantial,Piper,PA23-250,No,2.0,Reciprocating,Business,0.0,0.0,0.0,6.0,VMC,Unknown,6.0,Piper PA23-250
73323,Accident,2013-03-21,"Perry, FL",United States,PERRY-FOLEY,Non-Fatal,Substantial,Piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,Piper PA-23-250
